@relation microarray

@attribute totalMFE numeric
@attribute seedMFE numeric
@attribute seedGC numeric
@attribute Pos_2 numeric
@attribute Class {Target,Non-Target}

@data
-17.2,-18.5,3,2,Non-Target
-20.6,-19,3,1,Non-Target
-27.3,-14.6,1,3,Non-Target
-29.9,-14.6,1,3,Non-Target
-18.2,-14.6,1,3,Non-Target
-20,-17.2,2,1,Non-Target
-18.7,-17.2,2,1,Non-Target
-24.59,-18.2,3,2,Non-Target
-25.1,-18.2,3,2,Non-Target
-31.5,-20,4,1,Non-Target
-24.1,-15.5,2,2,Non-Target
-34.4,-21.9,5,1,Non-Target
-37.8,-16.9,5,1,Non-Target
-21.2,-19,3,1,Non-Target
-16.9,-16.3,2,1,Non-Target
-28,-19.9,4,1,Non-Target
-23.6,-19.9,4,1,Non-Target
-29.3,-18.6,3,3,Non-Target
-30,-18.9,3,2,Non-Target
-35.44,-18.9,3,2,Non-Target
-26.1,-18.4,3,2,Non-Target
-24.44,-18.9,3,2,Non-Target
-24.9,-18.9,3,2,Non-Target
-24.9,-18.9,3,2,Non-Target
-24.9,-18.9,3,2,Non-Target
-28,-18.9,3,2,Non-Target
-20,-18.9,3,2,Non-Target
-30.6,-19.6,4,1,Non-Target
-25.1,-19.9,4,1,Non-Target
-29.7,-18.9,3,2,Non-Target
-27.3,-18.9,3,2,Non-Target
-21.74,-18.9,3,2,Non-Target
-23,-18.9,3,2,Non-Target
-30.4,-18.6,3,2,Non-Target
-27.7,-14.4,3,5,Non-Target
-17.16,-18.9,3,2,Non-Target
-27.7,-14.4,3,5,Non-Target
-17.16,-18.9,3,2,Non-Target
-27.7,-14.4,3,5,Non-Target
-17.16,-18.9,3,2,Non-Target
-27.7,-14.4,3,5,Non-Target
-17.16,-18.9,3,2,Non-Target
-27.7,-14.4,3,5,Non-Target
-17.16,-18.9,3,2,Non-Target
-30.6,-19.6,4,1,Non-Target
-25.1,-19.9,4,1,Non-Target
-23.6,-18.6,3,3,Non-Target
-25.1,-18.6,3,3,Non-Target
-25.3,-18.9,3,2,Non-Target
-34.4,-18.9,3,2,Non-Target
-32.2,-18.9,3,2,Non-Target
-23.7,-18.9,3,2,Non-Target
-28,-18.9,3,2,Non-Target
-23.9,-18.9,3,2,Non-Target
-28.9,-18.6,3,3,Non-Target
-28.5,-18.4,3,2,Non-Target
-34.3,-18.4,3,2,Non-Target
-21.6,-18.9,3,2,Non-Target
-23.9,-19.9,4,1,Non-Target
-17.2,-19.9,4,1,Non-Target
-26.1,-18.9,3,2,Non-Target
-29.5,-18.9,3,2,Non-Target
-30.4,-18.9,3,1,Non-Target
-24.9,-18.4,3,1,Non-Target
-26.5,-15.5,2,2,Non-Target
-30.7,-18.4,3,1,Non-Target
-32.2,-18.6,3,1,Non-Target
-34.4,-11.9,2,5,Non-Target
-31.3,-18.4,3,1,Non-Target
-23.9,-18.9,3,1,Non-Target
-31.3,-18.4,3,1,Non-Target
-23.9,-18.9,3,1,Non-Target
-31.3,-18.4,3,1,Non-Target
-23.9,-18.9,3,1,Non-Target
-30.3,-18.4,3,1,Non-Target
-26.8,-18.4,3,1,Non-Target
-36.7,-18.6,3,1,Non-Target
-21.3,-18.9,3,1,Non-Target
-28,-21.1,5,2,Non-Target
-22.8,-21.1,5,2,Non-Target
-23.8,-18,3,1,Non-Target
-23.6,-17.7,3,1,Non-Target
-22.4,-19.3,4,2,Non-Target
-22.4,-19.3,4,2,Non-Target
-22.7,-21.1,5,2,Non-Target
-27.9,-21.1,5,2,Non-Target
-27.1,-13.9,2,5,Non-Target
-22.7,-21.1,5,2,Non-Target
-27.9,-21.1,5,2,Non-Target
-27.1,-13.9,2,5,Non-Target
-27.8,-17.7,3,1,Non-Target
-23.7,-21.1,5,2,Non-Target
-20.3,-21.1,5,2,Non-Target
-24.5,-21.1,5,2,Non-Target
-28.7,-16.1,3,5,Non-Target
-28.4,-21.1,5,2,Non-Target
-23.4,-18,3,1,Non-Target
-25,-21.1,5,2,Non-Target
-29.9,-17.9,3,1,Non-Target
-22.3,-12.6,2,5,Non-Target
-31.5,-14.2,3,5,Non-Target
-21.9,-18.5,3,1,Non-Target
-28.7,-18.3,3,2,Non-Target
-21.9,-16.5,2,2,Non-Target
-28.8,-16.9,2,2,Non-Target
-34.4,-22.5,5,1,Non-Target
-37.3,-22.2,5,1,Non-Target
-22.3,-19.3,4,2,Non-Target
-39.3,-22.2,5,1,Non-Target
-25.8,-22.5,5,1,Non-Target
-31.4,-22.5,5,1,Non-Target
-29,-22.2,5,1,Non-Target
-30.2,-19.6,4,3,Non-Target
-34.3,-22.2,5,1,Non-Target
-28.4,-17.4,3,1,Non-Target
-29,-19.5,4,1,Non-Target
-29.1,-22.2,5,1,Non-Target
-26,-20.2,4,1,Non-Target
-26.8,-15.7,4,5,Non-Target
-26,-22.3,5,1,Non-Target
-21.4,-22.3,5,1,Non-Target
-29.5,-19.4,4,3,Non-Target
-25,-19.4,4,3,Non-Target
-27.8,-15.5,4,5,Non-Target
-26.4,-21.4,5,1,Non-Target
-26.4,-21.4,5,1,Non-Target
-22,-22.3,5,1,Non-Target
-27.9,-22.3,5,1,Non-Target
-28.9,-20.1,4,1,Non-Target
-30.1,-22.3,5,1,Non-Target
-34.5,-21.4,5,1,Non-Target
-17.7,-10.7,1,5,Non-Target
-28.8,-16.9,2,1,Non-Target
-20.1,-10.7,1,5,Non-Target
-21.7,-10.7,1,5,Non-Target
-26.6,-16.9,2,1,Non-Target
-30.9,-18.1,3,2,Non-Target
-25,-18.8,3,1,Non-Target
-26.1,-18.5,3,1,Non-Target
-33.5,-18.3,3,1,Non-Target
-18.8,-18.8,3,1,Non-Target
-28.7,-16.9,2,1,Non-Target
-31.5,-13.6,3,5,Non-Target
-31.5,-13.6,3,5,Non-Target
-31.5,-13.6,3,5,Non-Target
-31.5,-13.6,3,5,Non-Target
-31.5,-13.6,3,5,Non-Target
-28.5,-16,2,1,Non-Target
-28.1,-16.6,2,1,Non-Target
-18.3,-16.6,2,1,Non-Target
-25.9,-18.3,3,1,Non-Target
-26.7,-19.3,4,2,Non-Target
-23.8,-19.3,4,2,Non-Target
-25,-16,2,1,Non-Target
-25.2,-16.6,2,1,Non-Target
-29.7,-16.7,2,1,Non-Target
-18,-16.6,2,1,Non-Target
-18.6,-16.6,2,1,Non-Target
-25.4,-18.4,3,1,Non-Target
-27.5,-18.6,3,1,Non-Target
-19.5,-18.6,3,1,Non-Target
-28.1,-18.6,3,1,Non-Target
-20,-16.3,2,1,Non-Target
-26.7,-17.9,3,2,Non-Target
-20.9,-18.6,3,1,Non-Target
-22.4,-15.9,3,1,Non-Target
-27.1,-18,3,1,Non-Target
-29,-21.3,4,2,Non-Target
-28.3,-21.3,4,2,Non-Target
-26.7,-21.3,4,2,Non-Target
-23.6,-21.3,4,2,Non-Target
-25.5,-17.8,3,2,Non-Target
-23,-18.7,3,2,Non-Target
-19.9,-18.7,3,2,Non-Target
-21.9,-18.7,3,2,Non-Target
-21.7,-18.7,3,2,Non-Target
-29.7,-18.7,3,2,Non-Target
-29.7,-18.7,3,2,Non-Target
-28,-18.7,3,2,Non-Target
-30.7,-16.7,4,5,Non-Target
-31.5,-16.7,4,5,Non-Target
-28.02,-16.7,4,5,Non-Target
-20.9,-18.6,3,2,Non-Target
-20.1,-20.4,4,1,Non-Target
-23.2,-17.8,3,1,Non-Target
