@relation microarray

@attribute seedMFE numeric
@attribute Class {Target,Non-Target}

@data
-19,Non-Target
-19,Non-Target
-19,Non-Target
-18.6,Non-Target
-18.6,Non-Target
-15,Non-Target
-12.9,Non-Target
-19,Non-Target
-19,Non-Target
-18.7,Non-Target
-18,Non-Target
-18,Non-Target
-18,Non-Target
-18,Non-Target
-18,Non-Target
-18,Non-Target
-18,Non-Target
-18,Non-Target
-12.3,Non-Target
-18,Non-Target
-18,Non-Target
-16.2,Non-Target
-18,Non-Target
-16.2,Non-Target
-16.2,Non-Target
-19,Non-Target
-16.4,Non-Target
-18,Non-Target
-18,Non-Target
-18,Non-Target
-16.2,Non-Target
-20.4,Non-Target
-20.4,Non-Target
-20.4,Non-Target
-20.4,Non-Target
-18.2,Non-Target
-20.4,Non-Target
-20.1,Non-Target
-20.4,Non-Target
-16,Non-Target
-16,Non-Target
-20.1,Non-Target
-17.5,Non-Target
-17.5,Non-Target
-20.1,Non-Target
-16,Non-Target
-20.1,Non-Target
-17.2,Non-Target
-11.1,Non-Target
-15.2,Non-Target
