@relation microarray.txt

@attribute seedMFE numeric
@attribute totalAU numeric
@attribute Class {Target,Non-Target}

@data
-17.7,8,Non-Target
-21.1,8,Non-Target
-21.1,4,Non-Target
-21.1,5,Non-Target
-16.1,7,Non-Target
-21.1,5,Non-Target
-18,8,Non-Target
-21.1,5,Non-Target
-17.9,5,Non-Target
-12.6,5,Non-Target
-14.2,6,Non-Target
-18.5,6,Non-Target
-18.3,8,Non-Target
-16.5,7,Non-Target
-16.9,8,Non-Target
-22.5,3,Non-Target
-22.2,3,Non-Target
-19.3,5,Non-Target
-22.2,2,Non-Target
-22.5,5,Non-Target
-22.5,2,Non-Target
-22.2,4,Non-Target
-19.6,5,Non-Target
-22.2,5,Non-Target
-17.4,5,Non-Target
-19.5,3,Non-Target
-22.2,4,Non-Target
-20.2,4,Non-Target
-15.7,6,Non-Target
-22.3,5,Non-Target
-22.3,6,Non-Target
-19.4,6,Non-Target
-19.4,6,Non-Target
-15.5,6,Non-Target
-21.4,4,Non-Target
-21.4,4,Non-Target
-22.3,3,Non-Target
-22.3,3,Non-Target
-20.1,4,Non-Target
-22.3,4,Non-Target
-21.4,4,Non-Target
-10.7,8,Non-Target
-16.9,9,Non-Target
-10.7,9,Non-Target
-10.7,12,Non-Target
-16.9,10,Non-Target
-18.1,5,Non-Target
-18.8,7,Non-Target
-18.5,7,Non-Target
-18.3,6,Non-Target
-18.8,4,Non-Target
-16.9,8,Non-Target
-13.6,6,Non-Target
-13.6,6,Non-Target
-13.6,6,Non-Target
-13.6,6,Non-Target
-13.6,6,Non-Target
-16,5,Non-Target
-16.6,8,Non-Target
-16.6,10,Non-Target
-18.3,3,Non-Target
-19.3,4,Non-Target
-19.3,4,Non-Target
-16,8,Non-Target
-16.6,7,Non-Target
-16.7,10,Non-Target
-16.6,7,Non-Target
-16.6,6,Non-Target
-18.4,8,Non-Target
-18.6,6,Non-Target
-18.6,8,Non-Target
-18.6,7,Non-Target
-16.3,7,Non-Target
-17.9,6,Non-Target
-18.6,7,Non-Target
-15.9,8,Non-Target
-18,6,Non-Target
-21.3,4,Non-Target
-21.3,4,Non-Target
-21.3,4,Non-Target
-21.3,4,Non-Target
-17.8,7,Non-Target
-18.7,5,Non-Target
-18.7,8,Non-Target
-18.7,5,Non-Target
-18.7,7,Non-Target
-18.7,4,Non-Target
-18.7,4,Non-Target
-18.7,3,Non-Target
-16.7,6,Non-Target
-16.7,6,Non-Target
-16.7,4,Non-Target
-18.6,7,Non-Target
-20.4,5,Non-Target
-17.8,10,Non-Target
-20.4,4,Non-Target
-16.3,8,Non-Target
-17.8,10,Non-Target
-20.4,4,Non-Target
-16.3,8,Non-Target
-17.8,10,Non-Target
-20.4,4,Non-Target
-16.3,8,Non-Target
-20.4,5,Non-Target
-20.4,4,Non-Target
-20.4,5,Non-Target
-20.4,8,Non-Target
-17.5,7,Non-Target
-20.4,9,Non-Target
-17.5,9,Non-Target
-20.4,6,Non-Target
-17.5,7,Non-Target
-10.3,9,Non-Target
-20.4,6,Non-Target
-20.4,5,Non-Target
-20.4,6,Non-Target
-20.4,6,Non-Target
-18.7,8,Non-Target
-18.1,5,Non-Target
-18.6,7,Non-Target
-18.1,8,Non-Target
-18.6,6,Non-Target
-18.6,8,Non-Target
-16,10,Non-Target
-18.6,8,Non-Target
-16,10,Non-Target
-18.6,6,Non-Target
-23.9,5,Non-Target
-21.9,4,Non-Target
-17.1,5,Non-Target
-18.6,8,Non-Target
-18.6,9,Non-Target
-12.4,9,Non-Target
-18.6,7,Non-Target
-16.2,10,Non-Target
-16,8,Non-Target
-16,10,Non-Target
-12.1,10,Non-Target
-18.6,9,Non-Target
-16.1,8,Non-Target
-18.1,7,Non-Target
-18.6,9,Non-Target
-16.1,8,Non-Target
-18.1,7,Non-Target
-18.6,9,Non-Target
-18.1,7,Non-Target
-18.6,9,Non-Target
-16.1,8,Non-Target
-18.1,7,Non-Target
-18.6,9,Non-Target
-16.1,8,Non-Target
-18.1,7,Non-Target
-16.1,8,Non-Target
-18.1,7,Non-Target
-16,10,Non-Target
-16.2,10,Non-Target
-16.1,8,Non-Target
-18.1,7,Non-Target
-16,10,Non-Target
-18.6,9,Non-Target
-18.6,5,Non-Target
-18.1,7,Non-Target
-18.6,8,Non-Target
-16.2,8,Non-Target
-18.6,8,Non-Target
-16.2,10,Non-Target
-16.2,9,Non-Target
-12.3,10,Non-Target
-22.1,5,Non-Target
-15.9,7,Non-Target
-22.1,6,Non-Target
-22.1,4,Non-Target
-22.1,4,Non-Target
-20.8,6,Non-Target
-22.1,3,Non-Target
-22.1,6,Non-Target
-15.9,8,Non-Target
-15.9,5,Non-Target
-22.1,3,Non-Target
-18.2,5,Non-Target
-16,7,Non-Target
-20,6,Non-Target
-19.2,6,Non-Target
-19.2,6,Non-Target
-19.2,7,Non-Target
-20.5,6,Non-Target
-19,6,Non-Target
-14.5,7,Non-Target
-19,5,Non-Target
-14.9,8,Non-Target
-14.5,6,Non-Target
-18.7,4,Non-Target
-19.1,7,Non-Target
-18.6,7,Non-Target
-19,8,Non-Target
-19,7,Non-Target
-18.6,7,Non-Target
-18.8,6,Non-Target
-19,6,Non-Target
-19,5,Non-Target
-19,5,Non-Target
-19,5,Non-Target
-19,6,Non-Target
-19,8,Non-Target
-19,6,Non-Target
-18.6,5,Non-Target
-18.6,6,Non-Target
-15,7,Non-Target
-12.9,9,Non-Target
-19,6,Non-Target
-19,6,Non-Target
-18.7,8,Non-Target
-18,5,Non-Target
-18,8,Non-Target
-18,8,Non-Target
-18,7,Non-Target
-18,9,Non-Target
-18,6,Non-Target
-18,7,Non-Target
-18,5,Non-Target
-12.3,10,Non-Target
-18,8,Non-Target
-18,11,Non-Target
-16.2,10,Non-Target
-18,11,Non-Target
-16.2,10,Non-Target
-16.2,10,Non-Target
-19,7,Non-Target
-16.4,9,Non-Target
-18,6,Non-Target
-18,6,Non-Target
-18,6,Non-Target
-16.2,8,Non-Target
-20.4,4,Non-Target
-20.4,5,Non-Target
-20.4,4,Non-Target
-20.4,5,Non-Target
-18.2,6,Non-Target
-20.4,6,Non-Target
-20.1,4,Non-Target
-20.4,5,Non-Target
-16,6,Non-Target
-16,6,Non-Target
-20.1,5,Non-Target
-17.5,6,Non-Target
-17.5,6,Non-Target
-20.1,4,Non-Target
-16,6,Non-Target
-20.1,4,Non-Target
-17.2,11,Non-Target
-11.1,13,Non-Target
-15.2,12,Non-Target
